SubjectID	Sex	Ethnicity	Age	Raised	Nearest city	II.1	II.2	II.3	II.3a	II.3b	II.4	II.5	II.5a	II.6	II.7	III.1	III.2	III.3	III.4	III.5	III.6	III.7	III.8	III.9	III.10
424	m	white	24	Cherry Hill	Philadelphia	l	s	z (h)	no	h	w	2	no	b	d	y	y	y	y	n	y	n	y	y	n
425	m	white	52	Towson	Baltimore	l	s	s			w	2	no	2	d	y	y	y	y	n	y	n	n	y	n
426	f	white	54	Chevy Chase	Washington,d.C.	l	s	s			2 (d,w)	2	no	2	d	y	y	y	y	n	y	n	n	y	n
427	f	black	22	Oak Park	Chicago	l	p	s			2 (d,w)	2	no	b	d	y	y	y	y	n	y	n	n	y	n
428	m	asian	22	Novi	Detroit	l	p	s			2 (d,w)	2	no	b	d	y	y	y	y	n	y	n	n	y	n
429	m	black	23	Brooklyn	New York City	l	s	2 (s,g)	no	s	2 (d,w)	2	no	b	d	y	y	y	y	n	y	n	n	y	n
430	m	asian	18	Los Angeles	San Diego	f	s	s		s	2 (d,w)	2	no	b	d	y	y	y	y	n	y	n	n	y	n
431	m	asian	19	Chatsworth	Los Angeles	2	s	s		o	2 (d,w)	2	no	b	d	y	y	n	n	n	y	n	n	y	n
432	m	white	19	Phoenix	Phoenix	f	2 (c,s)	s		s	w	f		b	d	y	y	n	y	n	y	n	n	y	n
433	m	asian	22	Mountain View California	San Francisco	f	s	s		s	w	2	not really	b	d	y	y	n	y	n	y	n	n	y	n
434	f	white	18	Vancouver	Seattle	f	2 (s,c)	s		s	w	i		b	d	y	n	n	n	n	y	n	n	y	n
435	f	white	12	Vancouver	Portland	f	s	s		s	w	2	no	b	d	y	y	n	n	n	y	n	n	n	n
436	m	asian	20	Ottawa	Toronto	f	2 (c,f)	s		s	w	2	no	b	d	y	n	n	y	n	y	n	y	y	n
437	f	black	19	Manhattan	New York	f	2 (f,s,c)	s		o	w	f		b	d	y	y	n	n	n	y	n	n	n	n
438	f	white, arabic	21	Montreal	Toronto	f	c	s		o	w	2	no	b	d	y	y	n	y	n	y	y	n	y	n
439	m	arabic, mexican	21	Austin	San Antonio	f	2 (t,c)	s		s	2 (d,w)	i		b	d	y	n	y	y	n	y	n	n	y	n
440	m	white	18	Boston,washington DC	Boston,washington DC	f	2 (c,s)	s		s	d	2	I don't know	b	d	y	y	y	y	n	y	n	n	y	n
441	m	black,white	20	State College	Philadelphia	f	2 (s,c)	s		s	w	2	Different texture?	b	d	y	y	n	n	n	y	n	n	y	n
442	f	white, asian	19	Dallas	San Antonio	2	2 (s,c,f)	s		z (h)	w	2	no	b	2	y	n	n	n	n	y	n	n	y	n
443	f	white	24	Edmonton	Vancouver	2	c	s		s	w	i		b	d	y	y	y	n	n	y	n	n	y	n
444	f	white	20	San Francisco	San Francisco	f	2 (c,s,t,f)	s		s	2	2	no	b	d	y	n	n	y	n	y	n	n	y	n
445	f	white	50	Philadelphia,pA	Philadelphia	2	s	2 (g,h)	A "grinder" is hot	h	w	2	No,but I tend more towards icing than frosting for no real reason.	b	d	n	n	y	y	n	n	n	y	y	n
446	f	white	51	Brookline, MA	Boston, MA	2	t	s		s	b	2	Icing is made with powdered sugar; frosting can be made with regular sugar and butter or cream cheese	b	d	y	n	y	n	n	y	n	n	n	n
447	m	white	18	Between the ages of four and thirteen, I lived both in and around Ojai,california.	Ojai is pretty isolated,so I would say it’s closest to Santa Barbara. Although, many people still might not know what Santa Barbara is,so I would say the closest “major city” is Los Angeles. (Even though it’s an hour and a half drive away.)	f	s	z (g,h)	Yes. None of these refer to sandwiches as a general concept. I wouldn’t say “I’d like to order a hoagie” to refer to any kind of sandwich—a hoagie is,for lack of a better way to describe it, a hoagie. Likewise, a grinder is a grinder, and a sub is a sub. These are all pretty similar types of sandwiches, though. All are large and come on similarly shaped/sized bread.	o: We would just say “sandwich”. Sometimes people refer to hot sandwiches as “melts” (especially if the sandwich has cheese on it that,well, melts).	2 (d,w)	f	One frosts a cake and ices a cookie. ;)	b	d	y	y	n	y	n	y	n	n	y	n
448	f	Caucasian	15	Princeton, NJ and Abilene, TX	Princeton is roughly one hour from Philadelphia, and Abilene is about three hours from Dallas.	2	2 (f,s)	h		s	2 (d,w)	2	Frosting is the base; icing is the decoration.  	b	d	y	y	n	y	n	y	n	n	y	n
449	f	white	17	-Hamilton,ontario -Rockland,ontario	-Toronto -Ottawa	l	p	s		s	2 (d,w)	2	-Frosting is thicker than icing	b	d	y	y	n	y	n	y	n	n	y	n
450	f	South Asian	18	Boulder,cO & College Station, TX	Denver,cO & Houston, TX	f	c	n/a		sandwich	w	2	frosting is totally edible on its own, icing not so much	b	d	y	y	n	y	y	y	n	y	y	n
451	f	White (Father mix of heritages,from Arkansas. Mother second-generation American descended from Sicilian-Italians. Sicilian spoken in home)	18	Falls Church, VA Clarksburg,wV Bridgeport,wV	Washington,d.C.  Pittsburgh,pA	2	s	s		s	w	2	Yes. Frosting is the initial coating for a cake and is spread all over it. Icing is the decorative piping that comes from a plastic bag.	b	d	y	y	n	y	n	y	n	y	y	n
452	m	White	36	Newfield, NY and Ithaca, NY 	New York City	l	f	s			d	2	No.	b	d	n	y	y	y	n	n	n	n	y	n
453	f	Caucasian	18	Kitts Hill,oH	Huntington,wV; Charleston,wV; Cincinnati,oH; Columbus,oH; Lexington, KY. 	2	2 (p,s)	s		s	w	2	No, I use them interchangeably; however, I'm more likely to use frosting for cupcakes and icing for cake. 	b	2	y	y	y	y	n	n	n	n	n	n
454	f	White	19	Bend,oregon	Portland,oR is the closest big city,but it’s 3.5 hours away.	f	2 (p,s)	s		s	d	2	Generally they’re interchangeable,but if I’m being specific,frosting is a thicker,whipped topping for cake, and icing is a milk/sugar mixture for cinnamon rolls or sugar cookies, etc. 	b	2	y	y	n	y	n	y	n	n	y	n
455	f	white	14	Euless, TX	Fort Worth	2	2 (f,s)	s		s	d	2	Frosting seems more cake-ish, icing is more like cookies and stuff.	b	d	y	y	y	y	n	y	n	y	y	n
456	f	Czech/Mexican (White Hispanic)	20	Orange Grove, Texas	Either Corpus Christi, Texas or San Antonio, Texas	2	s	s		2 (s,o):  rather than opting for one of these names,people from my hometown will often call out for a "barbecue sandwich" (which while often beef,could contain almost any meat,so long as it is drenched in sauce.) 	2 (d,w)	2	I don't believe there is much of a difference, although "icing" is sometimes used to refer to something especially decorative (a design or intricacy drawn on a cake),which frosting is almost always used to mean the "topping" that is slathered on cakes and dolloped on cupcakes.	b	2	y	y	n	y	n	y	n	n	y	n
457	f	white/Caucasian	17	El Paso, TX	Juarez, Mexico,but the nearest big American city is Albuquerque, New Mexico	f	s	s		s	w	2	Not really, I use them interchangeably	b	d	y	y	y	y	y	y	n	n	y	n
458	f	Caucasian	19	Peotone, Illinois	Chicago	2	p	s		s	w	2	Sometimes, like I would often use them interchangeably but technically I consider icing more of a glaze,while frosting is thicker,with oil or cream.	b	2	y	y	y	y	n	y	n	n	y	n
459	f	White	18	Rockland, ME and Philadelphia,pA	Rockland: Boston, MA; Philadelphia: Philadelphia	2	s	h		h	w	2	Frosting is thicker	b	d	n	n	y	y	n	n	n	n	y	n
460	f	asian	20	Irvine,cA	Los Angeles	f	f	s	N/A	s	w	2	N/A	b	d	y	y	y	y	y	y	n	n	y	n
461	f	white	22	Ridgewood and Fair Haven, New Jersey	NYC	2	s	s	N/A	s	w	2	N/A	b	d	n	n	y	n	n	n	n	n	n	n
462	m	white	54	Shaker Heights,oH	Cleveland,oH	2	s	s,r	N/A	s	d	f	N/A	b	d	n	y	n	y	n	y	n	n	y	n
463	f	white	19	Philadelphia,pA	Philadelphia,pA	l	s	h	N/A	h	w	i	N/A	b	d	n	n	y	y	n	n	n	n	n	n
464	f	taiwanese	19	Sherman Oaks,cA and Manhattan Beach,ca	Los Angeles	f	s	s	N/A	sandwich	w	2	icing is thinner,frosting is thicker	b	d	y	y	y	y	n	y	n	n	y	n
465	f	white	18	Chagrin Falls,oH	Cleveland,oH	f	p,s	s	N/A	s	w	2	frosting is what is on cakes, icing is what is used to right on cakes 	b	d	y	y	n	n	n	y	n	n	y	n
466	f	white	19	Fairfax, VA	Washington D.C.	f	s	s	N/A	s	w	i	N/A	b	d	Y	y	y	y	n	y	n	y	y	n
467	f	white	20	Kingston,ontario	Toronto,cA	f	p	s	N/A	s	w	i	N/A	b	d	y	y	n	n	n	y	n	n	y	n
468	f	asian	20	Ponte Vedra Beach,fL	Jacksonville,fL	2	s	s	N/A	s	w	i	N/A	b	d	y	y	y	y	n	y	n	y	y	n
469	f	white	45	Mount Vernon,wA	Seattle. WA	f	s	s	N/A	s	d	2	icing for cakes,frosting for cupcakes	b	d	y	y	n	y	n	y	n	n	y	n
470	f	white	18	Charleston,sC	Charleston,sC	f	s	s,p	sub is for deli,po'boy is for seafood	s	w	2	icing is more decorative,frosting is the base	b	d	y	y	y	y	n	y	n	n	y	n
471	f	white	21	Delta,cO	Denver,cO	f	s	s	N/A	s	w	f	N/A	b	d	y	y	y	y	n	y	n	n	y	n
472	f	white	18	Holmdel, NJ	New York City, NY	f	s	s	N/A	s	w	f	n/A	b	d	y	y	y	y	n	y	n	n	y	n
473	f	white	18	Western Springs, IL	Chicago, IL	l	p	s	N/A	s	w	2	same thing	b	d	y	y	y	y	n	y	n	n	y	n
474	f	white	19	Long Valley, NJ	New York City, NY	l	s	s	N/A	s	w	i	N/A	b	d	y	y	y	y	n	y	n	n	y	n
475	M	white	20	Rye Brook, NY	NYC	f	s	z (o)	no 	wedge	w	f	n/a	b	d	n	n	y	n	n	n	n	n	n	n
476	F	white	20	Fort Collins,cO	Denver,cO	f	s	s	n/a	s	2 (d,w)	f	n/a	b	d	y	y	n	y	n	y	n	n	y	n
477	F	white	21	Philadelphia,pA	Philadelphia,pA	l	s	h	n/a	h	w	i	n/a	b	d	n	n	n	y	n	n	y	n	n	n
478	F	white	19	Watertown, MN	Minneapolis/St. Paul	f	p	s	n/a	s	w	f	n/a	b	d	y	y	n	y	n	n	n	n	y	n
479	M	white	20	Philadelphia,pA	Philadelphia,pA	2	s	h	n/a	h	w	2	icing is vanilla. Frosting is chocolate	b	d	n	n	y	y	n	n	y	n	n	n
480	F	white	18	Mocanaqua,pA	Scranton,pA	f	s	h	n/a	h	w	2	frosting is thicker	b	d	y	y	y	n	n	y	n	y	y	n
481	M	white	44	Philadelphia,pA	Philadelphia,pA	l	s	h	n/a	h	w	i	n/a	b	d	n	n	y	y	n	n	y	y	n	n
482	F	hispanic	21	Los Angeles,cA	LA	f	s	z (o)	torta is Spanish for sub	torta	w	f	n/a	b	d	y	y	y	y	n	n	n	n	y	n
483	M	chinese	19	Newark,dE	Philadelphia,pA	l	s	z (h)	Sub is cold. Hoagie is hot.	h	w	i	n/a	b	d	y	y	y	y	n	y	n	n	y	n
484	M	white	18	San Francisco,cA	LA	f	s	s	n/a	s	w	2	no	2	d	y	y	n	y	n	y	n	n	y	n
485	M	hispanic	19	Brooklyn, NY	Brooklyn, NY	f	s	s	n/a	s	w	2	no	b	d	y	y	n	y	y	y	y	n	y	y
486	M	indian	19	Bethesda, MD	Washington DC	f	s	s	n/a	s	w	2	no	b	d	y	y	y	y	n	y	n	n	y	n
487	F	east asain	20	Philadelphia,pA	Philadelphia,pA	2	s	z (h)	no	h	w	2	no	2	d	n	n	y	y	n	n	n	n	n	n
488	M	latino, arab	21	Pembroke Pines,fL	Miami,fL	f	s	s	n/a	s	w	2	I use icing colloquially in "X puts the icing on the cake," whereas frosting would be my go-to word for decorative sugary stuff for cake. Still, either would sound natural in conversation.	b	d	y	y	n	y	n	y	n	n	y	n
489	M	white	21	Philadelphia,pA	Philadelphia,pA	2	s	2 (g,s,h)	Grinder is hot. Hoagie is cold. Sub is hot and usually with meatballs	h	w	i	n/a	b	2	n	n	y	y	n	n	y	n	y	n
490	f	hispanic	31	Highwood, IL	Chicago	l	p	s		s	w	2	none to me	b	d	n	y	y	y	n	n	n	y	y	n
491	f	white	20	Glenside,pA	Philadelphia	f	2 (s,f)	z (h)	Yes sub are 'sub par' and are any kind of sandwhich less than a hoagie	h	w	2	Frosting is the thick covering for the top, icing is for writing-Happy Birthday!	b	d	n	n	y	y	n	n	n	n	n	n
492	m	hispanic	21	San Diego,cA	San Diego	f	s	s		s	w	2	Yes	b	d	n	y	y	y	n	y	n	n	y	n
493	f	white	38	Highland Park, IL	Chicago	f	p	s		s	w	f		b	d	n	y	n	n	n	n	n	n	y	n
494	f	white	33	Oneill, NE	Omaha	l	p	z (h)	no	s	w	2	No	b	s	y	y	n	y	n	y	n	n	y	n
495	f	white	51	Skokie, IL	Chicago	l	s	s		s	2	2	Icing is more for decoration. Frosting covers a larger area	b	d	n	y	n	y	n	n	n	n	y	n
496	f	white	20	Buffalo Grove, IL	Chicago	2	s	s		s	2	f		b	d	n	y	n	n	n	n	n	n	n	n
497	m	asian	19	CA	Los Angeles	f	s	s		s	d	i		p	d	n	y	n	n	n	y	n	n	y	n
498	m	hispanic	21	South Paris, Maine	Portland, Maine	f	s	s		s	w	2	All frosting is icing,but not all icing is frosting. Example: Honey buns and cinna buns are icing,definitely not frosting. But on a cake it can be either one. The expression "That's just icing on the cake" comes to mind.	b	d	y	y	y	y	n	y	n	n	y	n
499	f	2 (black,white)	21	Gurnee, IL	Chicago	2	p	z (h,r)	If there is a difference, I don't know it.	s	2	2	Frosting is lighter,with more volume, icing is syrupy in consistency.	b	d	y	y	n	y	n	y	n	n	y	n
500	m	white	20	Kinnelon, NJ	NYC	f	s	s		s	w	2	icing goes on regular cakes,frosting goes on cupcakes.	b	d	n	n	y	y	n	n	n	n	n	n
501	m	white	20	Metuchen, NJ	NYC	2	s	z (h)		s	w	2	Yes	b	d	n	n	y	y	n	n	n	n	n	n
502	m	white	21	Highland Park, IL	Chicago	l	p	o	no	o	d	f		b	d	n	y	n	y	n	n	n	n	y	n
503	f	white	20	Highland Park, IL	Chicago	f	2 (p,s)	s	a sub is longer than a sandwich 	s	w	2	icing is thinner than frosting	b	d	n	y	y	y	n	n	n	n	y	n
504	f	white	52	Winnetka, IL	Chicago	l	s	s		s	d	f		2	d	n	y	n	y	n	n	n	n	n	n
505	m	white	18	Cherry Hill	Philadelphia	l	2 (s,c)	h	no	h	w	i	no	b	d	y	n	y	y	n	y	n	n	n	n
506	m	white	19	Elk Grove Village	Chicago	l	o	s	no	s	w	i	no	b	d	n	y	y	n	n		n	n	y	n
507	f	indian	18	Manhattan Beach	Los Angeles	f	c	o	no	s	w	f	no	b	d	y	y		n	n	y	n	n	y	n
508	m	white	19	Seneca Falls and Canandaigua	Rochester or Buffalo	f	s	s	no	s	d	f	no	b	d	n	y	n	y	n	n	n	n	y	n
509	m	white	19	Bryn Mawr	Philadelphia	2	c	2 (g,h)	grinder is open faced,hoagie is every other sandwich with a long roll	h	w	i	no	b	d	n	n	y	y	n	n	n	n	y	n
510	f	white	18	Toronto and San Diego	Tornoto and San Diego	f	2 (p,s)	s	mo	o	d	2	icing hardens,frosting stays soft		d	y	y	n	y	n	y	n	n	y	n
511	m	white	18	Drexel hill and Springfield	Philadelphia	l	s	h	no	h	w	2	no	b	d	n	n	y	y	n	y	y	n	y	n
512	f	white	18	Unionville CT	Hartford NYC	f	s	z (g)	grinder is hot,sub is cold	s	w	2	forsting is mushy, icing is harder	b	d	y	y	y	y	n	y	n	n	y	n
513	f	white	18	Cape Cod, Atlanta, and Los Angeles	Boston, Atlanta, LA	2	s	s	no	s	w	2	frosting is spread, icing is piped	b	d	y	y	y	y	n	y	n	n	y	n
514	m	asian	18	Naperville, IL	Chicago	f	s	s	no	s	w	2	no	b	d	y	n	n	n	n	y	n	n	y	n
515	f	south asian	19	Naperville, IL	Chicago	f	2 (p,s)	s	no	s	d	f	no	b	d	y	y	y	y	n	y	n	n	n	n
516	f	asian	19	Naperville, IL	Chicago	f	s	s	no	s	d	2	icing is fancier	b	d	y	y	n	y	n	y	n	n	y	n
517	m	 asian	18	Sylvania,oH	Detroit	f	p	s	no	s	w	f	no	b	d	y	y	n	y	n	y	n	n	y	n
518	f	white	19	Louisville KY	Cincinatti	f	2 (s,c)	s	no	s	w	i	no	b	d	y	y	y	n	n	y	n	y	y	n
519	m	white	19	Dayton OH	Cincinatti	l	p	s	no	s	w	2	no	b	d	y	y	n	y	n	y	n	n	y	n
520	f	Indian	18	Houston, TX	Houston	f	2 (s,c)	s	N/A	s	w	2	no	b	d	y	y	n	y	n	y	n	n	y	n
521	m	White	18	Long Island and West Chester, NY	New York	f	s	s	N/A	s	w	2	no	b	d	n	y	y	y	n	n	n	n	y	n
522	f	Caucasian	30	Texas	Lubbock	f	c	s	no	s	w	i	N/A	b	d	y	y	n	y	n	y	n	n	y	n
523	m	Caucasian	22	Texas	Dallas	f	s	s	no	s	w	i	N/A	b	d	y	y	y	y	n	y	y	n	y	n
524	m	White	22	Texas	Dallas	l	s	s	no	s	w	2	no	b	d	y	y	y	y	y	n	n	y	y	n
525	m	White	19	AZ	Phoenix	f	s	r	no	r	2 (d,w)	2	no	b	d	y	y	n	y	n	y	n	n	y	n
526	m	Hispanic 	21	Texas 	Sachse 	l	s	s	no	s	w	2	Icing is more for pastries frosting is more for cakes 	b	d	y	y	y	y	y	y	n	y	y	n
527	f	White 	19	Texas	DFW Area	f	s	s	no	s	w	2	no	b	d	y	y	y	y	y	y	n	y	y	n
528	f	Caucasian	19	Illinois	Chicago	2	2 (f,s)	s	no	s	2 (d,w)	2	icing is flat and frosting is bigger and soft	b	d	n	y	n	y	n	n	n	n	y	n
529	f	N/A	42	Tempe, AZ	Phoenix, AZ	f	s	s	N/A	s	d	f	N/A	b	d	y	y	n	y	n	y	n	n	y	n
530	f	Black	20	Pennsylvania	Philadelphia	f	s	h	N/A	h	w	2	no	b	d	n	n	n	y	n	y	n	n	n	n
531	f	White	19	Tacoma Park, MD	DC/Baltimore	2	s	s	N/A	s	w	2	no	b	d	n	y	y	n	n	y	n	n	y	n
532	m	White	18	Ohio	Cleveland	f	p	s	no	s	2 (d,w)	2	you write on frosting with icing	b	d	n	y	y	y	n	n	n	n	y	n
533	f	Eastern	46	Virginia	Richmond	f	s	s	no	s	w	i	N/A	b	d	y	y	n	n	n	y	n	y	y	n
534	f	White	19	Mesa, AZ	Phoenix	f	s	s	N/A	s	2 (d,w)	2	frosting is placed and spread with a knife, icing comes from a squeeze bag	b	d	y	y	n	y	n	y	n	n	y	n
535	f	Middle Eastern	18	Broomall,pA	Philadelphia	l	s	h		h	w	2	yes	b	d	n	n	y	y	n	n	n	n	n	n
536	m	Latino	18	Fontana,cA	Riverside	f	s	s		s	w	2	yes	b	d	y	y	n	y	n	y	n	n	y	n
537	f	White	18	Thorndale,pA/Broomall,pA	Philadelphia	l	s	h		h	w	2	probably	b	d	n	n	n	y	n	n	n	n	n	n
538	f	Asian	18	Garnet Valley,pA	Philadelphia	f	s	h		h	w	2	yes	b	d	y	y	y	y	n	y	n	n	n	n
539	m	Asian	18	Rockville, MD	Washington,d.C.	f	s	s		s	w	i		b	d	y	y	y	y	n	y	n	n	y	n
540	f	Asian	18	Upper Tumon,guam	Hagatna	f	s	n/a		s	w	2	no	b	d	y	y	y	y	n	y	n	n	y	n
541	f	White	18	Long Valley, NJ	New York City	2	s	s		s	w	2	no	b	d	n	y	y	y	n	n	n	n	y	n
542	f	African American	21	Philadelphia,pA	Philadelphia	l	s	h		h	w	i		b	d	n	y	y	y	n	n	n	n	y	n
543	m	Asian	18	Carmichael,cA	Sacramento	f	s	s		s	d	i		b	d	y	y	y	n	n	y	n	n	y	n
544	m	White	18	Broomall,pA	Philadelphia	l	s	h		h	w	i		b	d	n	n	y	y	n	n	n	n	n	n
545	f	Middle Eastern	13	Newtown Square,pA	Philadelphia	2	s	h		h	w	f		b	d	y	y	y	y	n	y	n	y	y	n
546	f	White	21	Newtown Square,pA	Philadelphia	l	s	h	a hot sandwich would be a toasted hoagie	h	w	2	no	b	d	y	n	y	y	n	n	y	y	y	n
547	f	Middle Eastern	22	Broomall,pA	Philadelphia	l	s	z (h,g)	grinder is hot; hoagie is similar to a sub but has special bread	h	w	i		b	d	y	n	n	y	n	y	n	y	n	n
548	m	Asian/Hispanic	24	Oakland,cA	San Francisco	f	s	s		s	w	f		b	d	y	y	y	y	n	y	n	n	y	n
549	f	Asian/White	18	Reading,pA/Philadelphia,pA	Philadelphia	2	2 (s,f)	z (h)	no	z (h)	w	2	icing is for décor while frosting goes on the whole cake	b	d	y	n	n	y	n	n	n	y	n	n
550	f	White	18	Gaithersburg, MD	Washington,d.C.	l	s	s		s	w	f		b	d	y	y	y	y	n	y	n	n	n	n
551	f	White	18	Chicopee, MA	Boston	f	s	g		g	w	f		b	d	y	y	n	y	n	y	n	n	y	n
552	m	asian	22	Mountain View,cA	San Francisco	f	s	s	no	s	w	2	no	b	d	y	y	n	y	n	y	n	n	y	n
553	f	white	21	Plano, TX	Dallas, TX	f	s	o		s	w	2	yes - frosting is thicker for the whole cake, icing is thinner,sweeter,for decorating smaller parts	b	d	y	y	y	y	n	y	n	n	y	n
554	m	asian	21	Indianapolis, IN	Indianapolis	f	s	z (g,h)	no	s	w	2	no	b	d	y	y	n	y	n	y	n	n	y	n
555	f	white	22	Basking Ridge, NJ	New York City	2	s	z (r,h)	no	s	w	2	frosting goes over the whole cake, icing is more decorative	2	d	y	n	y	n	n	y	n	n	n	n
556	f	white	21	Pittsburgh,pA	Pittsburgh	f	s	z (h)	no	o	w	i		b	d	y	y	y	n	n	y	n	n	y	n
557	f	italian	22	Wayne, NJ	New York, NY	f	s	z (r,h)	no	s	w	2	no	b	d	y	n	y	n	n	n	n	n	y	n
558	f	hispanic	22	Miami,fL	Miami,fL	f	s	s		s	w	2	no	b	d	y	y	y	y	n	y	n	n	y	n
559	f	asian	21	White Haven,pA	Philadelphia	2	s	z (h)	buy a hoagie at a gas station,buy a sub at subway	h	w	2	frosting is for cupcakes, icing for cakes	b	d	y	n	y	n	n	y	n	y	y	n
560	f	white	19	The Woodlands, TX	Houston, TX	f	s	o		o	w	2	frosting - what you spread on a cake, icing is for designs	b	d	y	y	n	y	n	y	n	n	y	n
561	f	white	21	Philadelphia	Philadelphia	f	s	z (r,p,h)	hero is a greek sandwich,po'boy is from the south (Louisiana?) usually fried fish. A hoagie and a sub are interchangeable	h	w	2	no	b	d	y	y	y	n	n	y	n	n	y	n
562	f	caucasian	22	New Albany,oH	Columbus,oH	2	s	s		s	w	2	icing is white frosting	b	d	y	y	n	y	n	y	n	n	y	n
563	f	white	22	Lancaster,pA	Philadelphia	2	s	z (h)	hoagie is cold,sub is hot	h	w	2	icing is the general overall layer on the cake,frosting is more decorative	b	d	n	y	y	y	n	n	n	y	y	n
564	f	white	18	Ridgewood, NJ	NYC	f	s	s		o	w	2	frosting is the main thing you put on, icing is the lettering	b	d	n	y	y	y	n	n	n	n	y	n
565	f	asian	19	Plainsborough, NJ	NYC	f	s	z (h)	hoagie is bigger	o	w	2	icing is the base layer,frosting is the touch ups	b	d	n	n	y	n	n	n	n	n	n	n
566	m	white	46	Burnsville, MN	Minneapolis or St Paul	l	c	s		s	d	2	no	b	d	y	y	n	y	n	y	n	n	y	n
567	f	caucasian	19	Morristown, NJ	NYC	f	s	z (h)	no	s	w	2	no	b	d	y	n	y	y	n	y	n	n	n	n
568	f	white	52	Scarsdale, NY	NYC	f	s	s		w	2	2	icing is thinner and shinier,can be poured on and is smooth. Frosting is fluffy and bumpy and is spread with a knife	b	d	n	n	n	y	n	n	n	n	n	n
569	f	hispanic	20	San Antonio, Texas	San Antonio	l	s	s		s	w	2	no	b	d	y	y	n	n	n	n	n	n	y	n
570	f	asian	20	Abington,pA	Philadelphia	2	s	h		h	w	2	no	b	d	y	n	y	y	n	y	n	n	n	n
571	f	caucasian	43	St. Petersburg,fL	Tampa	f	c	z (h)	no	s	w	f		b	d	y	y	y	y	n	y	n	y	y	n
572	f	white	22	Moorestown, NJ	Philadelphia	f	s	h		h	w	2	no	b	d	y	y	y	y	n	y	n	n	y	n
573	m	indian	21	Montville, NJ	NYC	f	s	s		s	w	i		b	d	y	n	y	n	n	y	n	n	y	n
574	f	white	52	Dallas, TX and San Francisco,cA	Dallas,san Francisco	f	s	s		o	w	2	frosting is what you spread and icing is what you use to write or decorate	b	d	n	y	n	y	n	n	n	n	y	n
575	f	white	21	Philadelphia PA and Chatham MA	Philadelphia and Boston	2	s	h		h	w	2	frosting is all over the cake, icing might only be the decoration (eg spelling words on a cake or flowers)	b	d	y	n	y	n	n	y	n	n	y	n
576	m	asian	21	Ottawa,ontario	Ottawa	f	2 (s,f)	none		s	w	2	no	b	d	y	y	n	y	n	y	n	n	y	n
577	f	caucasian	52	East Orange, NJ	NYC	f	s	s		o	w	i		b	d	n	n	y	y	n	n	n	n	n	n
578	f	white	21	Hattiesburg, MS	between Jackson and The Gulf Coast	2	2 (s,c)	2 (p,h)		p	w	i		b	2	n	y	y	y	y	n	n	n	y	n
579	f	white	20	longmeadow, ma	hartford,ct	f	s	z (g)		g	w	f		b	d	y	n	n	y	n	y	n	n	y	n
580	f	white	20	Carmel,cA	San Francisco	f	s	h		o	2 (d,w)	2	Icing is thin, and frosting is more fluffy	b	d	y	y	n	y	n	y	n	n	y	n
581	f	white	20	Wilmington,dE	Philadelphia,pA	f	2 (s,f)	z (h)		h	w	2		b	d	y	y	y	y	n	y	n	n	y	n
582	m	white	20	Chevy Chase, MD	Cleveland 	f	s	z (h)	Hoagies are hot,subs are mostly cold but can be hot.	s	w	2		b	d	n	y	n	y	n	n	n	n	y	n
583	f	white	18	Chatsworth,california/ Steubenville,ohio and Wooster,ohio	New York City	f	s	z (h)		s	2 (d,w)	2	Icing is not as thick while frosting is a lot thicker and more likely to be used	b	d	y	y	y	y	n	y	n	n	y	n
584	f	white	21	Levittown, NY	New York City	l	s	z (r) 	Subs are exclusively sold at Subway	r	w	i	Icing is for decoration,frosting is for covering the whole cake and is actually delicious	b	d	n	n	y	n	n	n	n	n	y	n
585	m	white	21	philadelphia	Philadelphia,pA	l	s	(g,h)	Hoagie is cold. Grinder is toasted	h	w	2		b	d	n	n	y	y	n	n	n	n	n	n
586	m	white	21	Ocean city, NJ	Atlantic City	l	s	z (h)		s	w	2		b	d	n	n	y	y	n	y	n	n	n	n
587	m	white	20	Staten Island New York	New York City	f	s	z (h)	hero is hot,sub is cold,hoagie is WAWA	r	w	2		b	d	n	n	y	y	n	n	n	n	n	n
588	m	mixed	19	Westchester, NY and Cranford, NJ	New York City	2	s	z (h)		s	w	2	"Icing" is the base layer used merely to cover the cake and provide a base color, "frosting" is any additional decoration.	b	d	n	n	y	y	n	n	n	n	n	n
589	m	white	19	Missouri	Kansas City	f	s	s		s	w	2		b	d	y	y	n	y	n	y	n	n	n	n
590	f	Middle Eastern	17	Nevada	Las Vegas	f	s	s		s	w	2	Icing is sweeter than frosting	b	d	n	y	n	n	n	y	n	n	y	n
591	f	white	19	Benicia CA	San Francisco	f	s	s		o	2 (d,w)	2		b	d	y	y	y	n	n	y	n	n	y	n
592	m	white	21	Henderson, NV; Brooklyn, NY	Las Vegas, NV; New York City 	f	s	z (r) 	Hero is hot,sub is cold.	s	w	f		b	d	y	y	y	y	n	n	n	n	y	n
593	f	slovak	86	Mahanoy City,pA; Beaver Meadows,pA	Philadelphia,pA	l	s	2 (h,s)	no	h	w	i		b	s	y	n	n	y	n	y	n	y	y	n
594	f	E/W European	56	Hazleton,pA	Philadelphia,pA	l	s	2 (h,s)	no	h	w	i		b	s	y	n	n	y	n	y	n	y	y	n
595	m	Irish	61	Norristown,pA	Philadelphia,pA	l	s	2 (h,s)	no	h	w	i		b	d	n	n	y	y	n	n	n	n	y	n
