SubjectID	Sex	Ethnicity	Age	Raised	Nearest city	II.1	II.2	II.3	II.3a	II.3b	II.4	II.5	II.5a	II.6	II.7	III.1	III.2	III.3	III.4	III.5	III.6	III.7	III.8	III.9	III.10
111	nonbinary	white	23	Swansea, Massachusettes	Boston	f	s	z (g)	no difference	s	b	2	icing is more decorative	b	d	y	n	y	n	n	n	n	n	n	n
112	f	white	20	Blaine, Minnesota	Minneapolis	l	2 (s,p)	z (h)	Hoagie is 6 sub is 12	s	w	f		b	2	y	y	n	n	n	y	n	n	y	n
113	m	white	22	Mountain Home, AR	Fayetteville, AR	2	s	s		sandwich	w	f		b	d	y	y	y	n	n	y	n	n	y	n
114	f	white	22	Aiken,sC	Augusta,gA	f	s	s		s	w	i		b	d	y	y	y	n	n	y	n	n	y	n
115	f	white	20	Greenwood,sC	Charlotte, NC	l	s	z (p)	Poboys are just for shrimp and are on a different roll	sandwich	w	f		b	d	y	y	n	n	n	y	n	n	y	n
116	nonbinary	white	20	Willow Springs, MO	St. Louis	l	s	s		s	w	f		b	2	y	y	y	n	n	y	n	n	y	n
117	f	white	21	Hastings, MN	Minneapolis	f	2 (s,p)	s		s	w	f		b	d	y	y	n	n	n	y	n	n	y	n
118	m	white	21	Aiken,sC	Augusta,gA	f	2 (f,s,c)	z (p)	sub is long with cold cuts,poboys are seafood	s	w	i		b	d	y	y	n	n	n	y	n	n	y	n
119	f	white	53	Lamar,cO	Pueblo	l	s	s		s	w	f		b	s	y	y	n	n	y	y	n	n	y	n
120	f	black	21	Aiken,sC	Augusta,gA	f	s	s		s	w	2	no	b	d	y	y	n	n	n	y	n	n	y	n
121	f	white	55	Little Falls, NJ	New York	l	s	s		s	w	i		b	d	n	n	y	n	n	n	n	n	n	n
122	f	white	20	SoCal	Los Angeles	f	s	s		sandwich	w	2	frosting thicker than icing	b	d	y	y	y	n	n	y	n	n	y	n
123	m	white	20	Jefferson, KY	Lexington	l	2 (s,p)	s		s	w	i		b	2	y	n	y	n	y	n	n	n	y	n
124	f	white	22	West Palm Beach,fL	West Palm Beach	l	s	s		s	w	f		b	d	y	n	n	y	n	y	n	n	y	n
125	m	white	20	Staten Island, NY	New York	f	s	z (h,r)	sub is cold,hero is hot. Hoagies are from wawa	r	w	i		b	d	n	n	y	n	n	n	n	n	n	n
126	f	white	21	Boulder,cO	Denver	f	s	z (h)	subs are cold,hoagies are hot or cold	s	w	2	no	b	d	y	y	n	n	n	y	y	n	y	n
127	f	white	20	Aiken,sC	Augusta,gA	2	2 (f,s)	s		s	2 (w,d)	2	no	b	d	y	y	y	y	y	y	y	y	y	y
128	m	hispanic	21	PA	Philadelphia	l	s	h		h	w	2	no	b	d	y	y	y	y	y	y	n	y	y	n
129	agender	white	20	Minnesota	Minneapolis	f	2 (s,p)	z (h)	hoagie is hot,sub is cold	s	d	2	frosting is whipped, icing is from a tube	b	d	y	n	n	y	n	y	n	n	y	n
130	f	white	19	North Augusta,sC	Atlanta	f	s	s		s	w	2	no	b	d	y	y	y	n	n	n	n	y	y	n
131	m	white	20	Hastings, MN	Minneapolis	l	s	z (h)	subs are cold,hoagies are hot 	s	2 (w,d)	2	difference in consistency	p	2	y	y	n	n	n	y	n	n	y	n
132	f	white	25	Burnaby,bC	Vancouver	f	p	s		sandwich	w	i		b	d	y	y	n	n	n	y	n	n	y	n
133	f	white	20	Hastings, MN	Minneapolis	f	s	s		s	w	f		b	s	y	y	n	n	n	y	n	n	y	n
134	f	white	22	Hastings, MN	Minneapolis	f	p	s		s	d	f		b	d	n	y	y	n	y	n	y	n	y	n
135	agender	white	26	Mandan, ND	Minneapolis	f	s	s		s	2 (w,d)	2	frosting is fluffy, icing has a "shell"	b	d	y	y	n	n	n	y	n	n	y	n
136	f	hispanic	23	Lake city, MN	Minneapolis	f	s	z (h)	no difference	s	2 (w,d)	2	no	b	2	y	y	n	n	n	n	n	n	y	n
137	f	white	20	Hastings, MN	Minneapolis	f	p	z (h)	no difference	s	d	2	no	b	d	y	y	n	n	n	y	n	n	y	n
138	m	white	21	Aiken,sC	Charleston	f	s	z (r)	no difference	s	w	f		2	d	y	y	y	n	y	y	n	n	y	n
139	m	white/asian	21	Aiken,sC	Charleston	2	2 (s,c)	s		s	w	2	frosting is thicker	b	d	y	y	n	n	n	y	n	n	y	n
140	f	white	20	Lexington,sC	Atlanta	l	2 (f,s)	s		s	w	2	no	b	d	y	y	y	n	n	y	n	y	y	n
141	m	white	21	Hastings, MN	Minneapolis	l	p	s		s	w	i		b	d	y	y	y	n	n	y	n	n	y	n
142	f	black	13	New York	New York	l	s	s		s	b	f		b	d	y	y	y	n	y	y	n	n	y	n
